Date,AAL,DIS,F,MSFT
2007-02-28,49.28811319975918,28.752951233469,5.360321904894377,21.017900646365007
2007-03-31,42.869064607478435,28.904061634112,5.346768625741673,20.79406783862949
2007-04-30,34.81933259895016,29.365787858299,5.4484182193869515,22.338514212004554
2007-05-31,33.603389473540155,29.751958882165,5.65171740667751,22.972274955037445
2007-06-30,28.532246826481362,28.660605988631,6.383594480923518,22.05900088057561
2007-07-31,29.22976458834447,27.703573451225,5.766920279475492,21.699709383369083
2007-08-31,29.173209094139352,28.207274786702,5.292555509130858,21.581163524147513
2007-09-30,24.743028714738546,28.87048154508,5.753367000322789,22.1295188799647
2007-10-31,26.072082828558788,29.071962079271,6.0108793042241615,27.65063102415141
2007-11-30,19.577626910671224,27.829498785095,5.0892563218403,25.31993656572883
2007-12-31,13.86552199595444,27.388740891311,4.560678434884849,26.827075647022212
2008-01-31,13.045467329980246,25.318464318361,4.499688678697682,24.56636702508214
2008-02-29,11.688135469057446,27.499042512001,4.425145643357811,20.577054195364724
2008-03-31,8.398490889459827,26.625114286534,3.876237837673304,21.469814156098032
2008-04-30,8.096861587032537,27.516011992107,5.597504290066694,21.57572585383777
2008-05-31,3.7326626175377005,28.508726578316,4.608114911919313,21.5035599824622
2008-06-30,2.356478925213195,26.472388965579,3.2595636362252782,20.888521720251944
2008-07-31,4.769513344631506,25.751186061068,3.2527869966489265,19.52936309141694
2008-08-31,8.00260243002401,27.448134071682,3.022381251052961,20.804906288521035
2008-09-30,5.6838271676142265,26.039667222872,3.523852579703004,20.34748804839232
2008-10-31,9.557878520664719,21.983961477505,1.4840840672210727,17.02358217012366
2008-11-30,5.617845757708256,19.107634599514,1.8229160460386693,15.517132781532577
2008-12-31,7.286232836759199,19.547149339625,1.5518504629845922,14.91854902438147
2009-01-31,5.344494202383526,17.815559644929,1.267231600777811,13.122797752928145
2009-02-28,2.6863859747430423,14.44714387067,1.355327915270386,12.482818549204481
2009-03-31,2.384756672315753,15.644611370982,1.7822562085805576,14.198723018506893
2009-04-30,3.5724220506232034,18.866574285491,4.052430466658454,15.659560607237326
2009-05-31,2.431886250820017,20.865225077379,3.89656775640236,16.249856831600898
2009-06-30,2.2904975153072256,20.098501282215,4.113420222845622,18.49014346037115
2009-07-31,2.7617933003498645,21.640563746645,5.421311661081544,18.295674134957064
2009-08-31,3.204811338289945,22.433132164118,5.150246078027467,19.280388285368918
2009-09-30,4.430180379400807,23.656444286739,4.8859571345497415,20.11730574846607
2009-10-31,2.8843302044609507,23.578910419812,4.743647703446351,21.689459113723334
2009-11-30,3.4781628936146753,26.034149539157,6.024432583376867,23.103179570943137
2009-12-31,4.562143199212745,28.093641159174,6.776639576351931,23.943723676380372
2010-01-31,5.005161237152826,25.741615387709,7.345877300765492,22.136946627309676
2010-02-28,6.9091962087250876,27.213809296515,7.955774862637167,22.625143577187096
2010-03-31,6.928048040126792,30.410822104396,8.518235947474377,23.112448291484725
2010-04-30,6.664122400502915,32.092084970666,8.823184728410213,24.09692218798074
2010-05-31,8.323083563853004,29.112852326809,7.948998223060815,20.45281648192637
2010-06-30,8.115713418434243,27.440300667101,6.830852692962746,18.241058420508754
2010-07-31,10.227118535425266,29.348054903956,8.653768739001414,20.460743930175177
2010-08-31,8.521027793570912,28.346266149443,7.647437761913154,18.69962168050206
2010-09-30,8.71897202328882,28.834093716858,8.294606841454764,19.51646004498169
2010-10-31,11.113154611305426,31.469233701556,9.575391721385278,21.249751208633597
2010-11-30,10.519321922151702,31.804615154154,10.801963484704977,20.252869691733316
2010-12-31,9.435341616553632,33.031486880587,11.37797784869489,22.379791867614646
2011-01-31,9.350508375245957,34.229109438774,10.808740124281329,22.231448567883053
2011-02-28,8.115713418434243,38.51765492287,10.198842562409656,21.43981238956564
2011-03-31,8.209972575442771,37.945261788443,10.103969608340728,20.479941180251
2011-04-30,8.568157372075177,37.954067836665,10.483461424616436,20.907446844903742
2011-05-31,8.57758328777603,36.659578748036,10.11074624791708,20.30506505961833
2011-06-30,8.398490889459827,34.378812258547,9.344985975789312,21.10882413235012
2011-07-31,5.881771397332135,34.008958233225,8.274276922725708,22.245453124092048
2011-08-31,5.269086876776703,29.993400244009,7.535623208903346,21.73225664723455
2011-09-30,5.1842536354690285,26.559041437443,6.553010470332317,20.335183005626615
2011-10-31,5.438753359392053,30.71549619821,7.9151150251790545,21.75676671112241
2011-11-30,4.449032210802511,31.569682875741,7.183237950933046,21.055226475608674
2011-12-31,4.7789392603323595,33.586207809026,7.291664184154677,21.368009355230697
